sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,population
0.18163528392384212,0.03050969584257501,0.08754787553190069,0.001829003324349836,0.1805339547079589,-0.03799415144113498
0.05016341879545826,0.030435385062837092,-0.06479675003983162,-0.01595306340339981,-0.18693194078033348,-0.04190162205463932
0.16643395899168273,0.11230097910849662,0.10090023070731119,-0.0006275228878821585,0.16650178228666582,-0.07377870769806658
0.18057159369993853,0.13375315007438265,0.005660533076245116,0.0031282906503574057,0.19970162992046692,-0.02655876537850041
-0.03428260634138067,0.06161872999502172,0.040766865889813056,-0.0007908917459924522,0.1368010791050914,0.27142159888440925
0.11703789703833002,0.08982698162532356,0.007544638399932768,-0.007028163881012888,0.18186934018056997,0.17059743852381046
0.06880750631641669,0.004594642443175042,-0.09149454657131989,-0.01873445764236674,-0.02453421370647214,-0.024122415736604445
0.04788050827816264,0.03556854744876374,-0.01786005216088257,-0.02114267454247705,-0.20699222641552206,0.16870009731163738
0.06797901229103549,0.019952900978489674,0.0361380099607226,-0.020138362805005902,-0.20822862075758442,-0.07814784474521673
0.10264004415750587,0.010942682905217204,0.07063950032232177,-0.009707796741748374,0.06959442941402694,-0.0014508538767164833
0.11653927489406546,0.06226296293563708,-0.04747294291015678,-0.009664839107335387,0.16056934733251288,0.24979472255628843
0.07220737533594415,0.0849943286059457,-0.013807104710071575,-0.005370334608140407,0.1346938044829678,0.1972247835628338
-0.09304056168980274,0.03921232765513499,0.0471829676247034,-0.008664877890532852,-0.15061024030504097,-0.06650730623015622
0.1082947407205207,0.03967686188534595,0.016510922207621865,-0.0221507279338163,-0.32095957604829184,0.09783887582064113
0.07002678994706323,0.04566220631997137,0.015883179184145724,-0.017536088270194084,-0.24412422391871758,-0.07271858921981272
0.06557454043089654,0.040824888327165694,-0.09639011031733674,-0.016420734483758453,-0.08814341988262285,-0.05454123698058797
0.11891017707981567,0.016544654481692327,0.015114589393975636,-0.02067131241875978,-0.25226843316202946,-0.07805211989593834
0.06505773634458965,0.02080802628846472,0.05001625389394499,-0.016198297718836564,-0.25049734312509936,-0.07063424521471531
-0.03565368470545033,0.024113054134977874,-0.0502169010952118,-0.0066915310452129815,-0.05551944924756318,-0.09101287809942434
-0.11995924930393981,-0.08289286385672467,-0.05118736745241248,0.007087945376418703,0.04482161653396308,-0.06240940407868487
0.1670767206049263,0.08974001304429195,0.1027516068578143,0.03864486689862768,0.15501106379607005,-0.06983833322008515
0.13508850542678263,0.06324470623856647,0.04126419680732314,0.0278955870413356,0.1585905089762233,0.24127444286222166
0.09429077481118735,0.03130278956672372,-0.03523089683627793,0.007102532926927054,-0.0949619732844006,-0.0554193446110944
0.19735360073928299,0.08870382716311077,0.08210137240850246,0.03306652095028837,0.1784337449552678,-0.08083536883623473
