state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population,sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,sub_centres_per_100k_norm,phcs_per_100k_norm,chcs_per_100k_norm,sub_divisional_hospital_per_100k_norm,district_hospital_per_100k_norm,D_HAI_v1,underserved,district_id,underserved_next_year,year_num,next_year_num,is_consecutive
Maharashtra,Parbhani,215,38,6,2,1,2020-21,Parbhani,513.0,exact,1836086.0,11.709691158257293,2.069619832622219,0.32678207883508725,0.10892735961169575,0.054463679805847875,0.3312880730298814,0.22675622435684004,0.19901593042829346,0.05130687415150126,0.23853948017685447,0.20938131642867414,0,513.0,0,2020,,False
Maharashtra,Jalna,218,43,8,1,2,2019-20,Jalna,514.0,exact,1959046.0,11.127865297701023,2.1949459073446973,0.40836202927343207,0.05104525365917901,0.10209050731835802,0.3148271804599935,0.24310603538329906,0.2486995293534803,0.024043292840835114,0.4471349830478713,0.25556220421709586,0,514.0,0,2019,2020.0,True
Maharashtra,Jalna,218,44,9,1,1,2020-21,Jalna,514.0,exact,1959046.0,11.127865297701023,2.2459911610038765,0.459407282932611,0.05104525365917901,0.05104525365917901,0.3148271804599935,0.24976530603366723,0.2797869705226653,0.024043292840835114,0.22356749152393565,0.2183980482762194,0,514.0,0,2020,,False
Maharashtra,Aurangabad,279,82,11,3,1,2019-20,Chhatrapati Sambhajinagar,515.0,crosswalk,3701282.0,7.537928750092536,2.215448593217161,0.29719432348035085,0.08105299731282296,0.027017665770940988,0.21326146492717157,0.2457807783710766,0.18099647635603014,0.03817751525012145,0.11833170236690964,0.15930958745426188,1,515.0,1,2019,2020.0,True
Maharashtra,Aurangabad,279,73,10,3,1,2020-21,Chhatrapati Sambhajinagar,515.0,crosswalk,3701282.0,7.537928750092536,1.9722896012786921,0.2701766577094099,0.08105299731282296,0.027017665770940988,0.21326146492717157,0.21405869997372945,0.1645422512327547,0.03817751525012145,0.11833170236690964,0.14967432675013737,1,515.0,1,2020,,False
Maharashtra,Nashik,587,156,27,6,4,2019-20,Nashik,516.0,exact,6107187.0,9.61162643292239,2.554367501764724,0.4421020676131253,0.09824490391402785,0.0654966026093519,0.27193007540600467,0.2899955207566253,0.2692477954848339,0.046275232770832134,0.2868613651424134,0.23286199791214188,0,516.0,1,2019,2020.0,True
Maharashtra,Nashik,592,153,24,6,1,2020-21,Nashik,516.0,exact,6107187.0,9.693497186184082,2.5052450498077103,0.3929796156561114,0.09824490391402785,0.016374150652337976,0.27424634521355157,0.28358709530779547,0.2393313737642968,0.046275232770832134,0.07171534128560335,0.18303107766841584,1,516.0,1,2020,,False
Maharashtra,Thane,176,133,11,5,6,2019-20,Thane,517.0,exact,11060148.0,1.5912987782803631,1.2025155540414108,0.0994561736425227,0.04520735165569213,0.05424882198683056,0.045020684042512686,0.11363538237384652,0.06057052762765924,0.021293529104071063,0.23759844804970062,0.09562371423955802,1,517.0,1,2019,2020.0,True
Maharashtra,Thane,176,138,13,3,1,2020-21,Thane,517.0,exact,11060148.0,1.5912987782803631,1.2477229056971029,0.11753911430479953,0.02712441099341528,0.009041470331138425,0.045020684042512686,0.11953305098122911,0.07158335083268819,0.012776117462442636,0.03959974134161676,0.05770258893209788,1,517.0,1,2020,,False
Maharashtra,Mumbai Suburban,0,97,0,0,0,2020-21,Mumbai Suburban,518.0,exact,9356962.0,0.0,1.0366612582160748,0.0,0.0,0.0,0.0,0.09199833357394253,0.0,0.0,0.0,0.018399666714788508,1,518.0,1,2020,,False
Maharashtra,Mumbai,0,37,0,0,0,2020-21,Mumbai,519.0,exact,3085411.0,0.0,1.1991919390966066,0.0,0.0,0.0,0.0,0.11320178963273024,0.0,0.0,0.0,0.022640357926546048,1,519.0,1,2020,,False
Maharashtra,Raigarh,288,59,8,5,1,2019-20,Raigad,520.0,fuzzy,2634200.0,10.933110621820667,2.239769189886873,0.3036975172727963,0.1898109482954977,0.03796218965909954,0.30931722290313135,0.2489535990349412,0.1849570337035222,0.08940459469035508,0.16626641864702757,0.1997797737957955,1,520.0,0,2019,2020.0,True
Maharashtra,Raigad,288,60,8,6,1,2020-21,Raigad,520.0,exact,2634200.0,10.933110621820667,2.277731379545972,0.3036975172727963,0.22777313795459722,0.03796218965909954,0.30931722290313135,0.25390607702845763,0.1849570337035222,0.10728551362842609,0.16626641864702757,0.20434645318211295,0,520.0,1,2020,,False
Maharashtra,Pune,542,193,28,11,2,2019-20,Pune,521.0,exact,9429408.0,5.747974846353027,2.0467880910445277,0.29694334999609734,0.11665631606989538,0.02121023928543552,0.1626204726441242,0.2237776370115743,0.18084362916912322,0.054947360781645395,0.09289639391995765,0.14301709870528495,1,521.0,1,2019,2020.0,True
Maharashtra,Pune,545,192,40,5,1,2020-21,Pune,521.0,exact,9429408.0,5.77979020528118,2.0361829714018103,0.42420478570871045,0.05302559821358881,0.01060511964271776,0.16352058596134258,0.22239411245409194,0.258348041670176,0.02497607308256609,0.04644819695997882,0.14313740202563108,1,521.0,1,2020,,False
Maharashtra,Ahmadnagar,558,106,23,3,1,2019-20,Ahmednagar,522.0,fuzzy,4543159.0,12.282202758036865,2.3331783017059275,0.5062556692380786,0.06603334816148851,0.022011116053829504,0.34748544852978797,0.2611395813197355,0.30831844698209493,0.031102972623234183,0.09640406598140193,0.2088901030872509,0,522.0,0,2019,2020.0,True
Maharashtra,Ahmednagar,565,106,23,2,1,2020-21,Ahmednagar,522.0,exact,4543159.0,12.43628057041367,2.3331783017059275,0.5062556692380786,0.04402223210765901,0.022011116053829504,0.35184458498087845,0.2611395813197355,0.30831844698209493,0.020735315082156123,0.09640406598140193,0.20768839886925336,0,522.0,0,2020,,False
Maharashtra,Bid,297,55,10,3,2,2019-20,Beed,523.0,crosswalk,2585049.0,11.489143919515646,2.127619244354749,0.3868398626099544,0.11605195878298631,0.07736797252199087,0.32504839781152534,0.23432272178024152,0.23559215810890732,0.05466269691599656,0.3388554723720904,0.23769628939775225,0,523.0,0,2019,2020.0,True
Maharashtra,Beed,297,57,10,3,1,2020-21,Beed,523.0,exact,2585049.0,11.489143919515646,2.20498721687674,0.3868398626099544,0.11605195878298631,0.03868398626099544,0.32504839781152534,0.2444160063025242,0.23559215810890732,0.05466269691599656,0.1694277361860452,0.2058293990649997,0,523.0,0,2020,,False
Maharashtra,Latur,252,57,10,2,1,2019-20,Latur,524.0,exact,2454196.0,10.268128543930477,2.3225528849366555,0.4074654184099396,0.0814930836819879,0.04074654184099395,0.2905036924516216,0.25975340883615883,0.2481534778506985,0.038384804364986876,0.1784612964897669,0.20305133599864655,1,524.0,1,2019,2020.0,True
Maharashtra,Latur,252,56,10,1,0,2020-21,Latur,524.0,exact,2454196.0,10.268128543930477,2.281806343095661,0.4074654184099396,0.04074654184099395,0.0,0.2905036924516216,0.2544376893375853,0.2481534778506985,0.019192402182493438,0.0,0.16245745236447978,1,524.0,1,2020,,False
Maharashtra,Osmanabad,211,44,6,3,2,2019-20,Dharashiv,525.0,crosswalk,1657576.0,12.729431410686448,2.654478588010444,0.3619743529105151,0.18098717645525755,0.12065811763683837,0.3601383457358387,0.30305583039606454,0.22044863320678126,0.08524842903130837,0.5284572170446483,0.29946969108292826,0,525.0,0,2019,2020.0,True
Maharashtra,Osmanabad,211,46,6,4,1,2020-21,Dharashiv,525.0,crosswalk,1657576.0,12.729431410686448,2.7751367056472827,0.3619743529105151,0.24131623527367674,0.060329058818419184,0.3601383457358387,0.31879666825872804,0.22044863320678126,0.11366457204174449,0.26422860852232416,0.2554553655530833,0,525.0,0,2020,,False
Maharashtra,Solapur,427,95,16,3,0,2019-20,Solapur,526.0,exact,4317756.0,9.889396251200855,2.2002169645528835,0.37056285718785403,0.06948053572272264,0.0,0.27978867958263504,0.24379368788860842,0.22567918065857273,0.032726664035670386,0.0,0.1563976424330973,1,526.0,1,2019,2020.0,True
Maharashtra,Solapur,427,95,16,3,0,2020-21,Solapur,526.0,exact,4317756.0,9.889396251200855,2.2002169645528835,0.37056285718785403,0.06948053572272264,0.0,0.27978867958263504,0.24379368788860842,0.22567918065857273,0.032726664035670386,0.0,0.1563976424330973,1,526.0,1,2020,,False
