state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year
Uttar Pradesh,Shrawasti,125,12,6,0,1,2019-20
Uttar Pradesh,Siddharth Nagar,278,65,8,0,1,2019-20
Uttar Pradesh,Sitapur,471,67,18,0,2,2019-20
Uttar Pradesh,Sonbhadra,173,31,7,0,2,2019-20
Uttar Pradesh,Sultanpur,244,42,13,0,2,2019-20
Uttar Pradesh,Unnav,357,54,7,0,2,2019-20
Uttar Pradesh,Varanasi,320,51,12,0,4,2019-20
Karnataka,Bagalkot,233,55,8,5,0,2020-21
Karnataka,Ballari,350,92,13,7,1,2020-21
Karnataka,Belagavi,621,153,16,9,1,2020-21
Karnataka,Bengaluru Rural,199,50,2,4,0,2020-21
Karnataka,Bengaluru Urban,279,203,11,4,0,2020-21
Karnataka,Bidar,275,58,8,4,1,2020-21
Karnataka,Chamarajanagar,255,62,3,3,0,2020-21
Karnataka,Chikballapur,203,61,2,5,1,2020-21
Karnataka,Chikkamagaluru,367,91,5,6,1,2020-21
Karnataka,Chitradurga,343,86,11,5,1,2020-21
Karnataka,Dakshin Kannad,430,77,8,4,2,2020-21
Karnataka,Davangere,268,90,4,4,0,2020-21
Karnataka,Dharwad,185,53,0,3,0,2020-21
Karnataka,Gadag,190,42,2,4,2,2020-21
Karnataka,Hassan,486,138,15,7,0,2020-21
Karnataka,Haveri,310,72,5,6,1,2020-21
Karnataka,Kalaburagi,335,102,16,6,0,2020-21
Karnataka,Kodagu,196,30,7,2,1,2020-21
Karnataka,Kolar,266,68,2,5,0,2020-21
Karnataka,Koppal,176,48,9,3,1,2020-21
Karnataka,Mandya,410,116,10,6,0,2020-21
Karnataka,Mysuru,510,147,10,6,3,2020-21
Karnataka,Raichur,213,57,6,4,1,2020-21
Karnataka,Ramanagara,252,65,4,3,0,2020-21
Karnataka,Shivamogga,357,108,7,7,1,2020-21
Karnataka,Tumakuru,572,150,4,10,1,2020-21
Karnataka,Udupi,336,62,6,2,1,2020-21
Karnataka,Uttar Kannad,344,85,3,10,1,2020-21
