state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population
Tamil Nadu,Salem,398,87,20,16,1,2019-20,Salem,608,exact,3482056
Tamil Nadu,Sivaganga,275,40,12,13,1,2019-20,Sivaganga,622,exact,1339101
Tamil Nadu,Thanjavur,309,63,14,5,1,2019-20,Thanjavur,620,exact,2405890
Tamil Nadu,Theni,162,33,8,5,1,2019-20,Theni,624,exact,1245899
Tamil Nadu,Thiruvallur,303,54,14,8,1,2019-20,Thiruvallur,602,exact,3728104
Tamil Nadu,Thiruvarur,195,40,10,9,1,2019-20,Thiruvarur,619,exact,1264277
Tamil Nadu,Tiruchirappalli,307,70,14,16,1,2019-20,Tiruchirappalli,614,exact,2722290
Tamil Nadu,Tirunelveli,379,85,19,9,1,2019-20,Tirunelveli,628,exact,3077233
Tamil Nadu,Tirupur,242,54,13,10,1,2019-20,Tiruppur,633,fuzzy,2479052
Tamil Nadu,Tiruvanamalai,410,81,18,9,1,2019-20,Tiruvannamalai,606,fuzzy,2464875
Tamil Nadu,Toothukudi,253,48,12,7,1,2019-20,Thoothukkudi,627,fuzzy,1750176
Tamil Nadu,Vellore,454,99,20,12,1,2019-20,Vellore,605,exact,3936331
Tamil Nadu,Viluppuram,557,88,22,11,1,2019-20,Viluppuram,607,exact,3458873
Tamil Nadu,Virudhunagar,245,47,11,10,1,2019-20,Virudhunagar,625,exact,1942288
Uttar Pradesh,Agra,395,75,16,0,2,2019-20,Agra,146,exact,4418797
Uttar Pradesh,Aligarh,333,53,13,0,4,2019-20,Aligarh,143,exact,3673889
Uttar Pradesh,Allahabad,562,84,19,0,6,2019-20,Prayagraj,175,crosswalk,5954391
Uttar Pradesh,Ambedkar Nagar,272,28,10,0,1,2019-20,Ambedkar Nagar,178,exact,2397888
Uttar Pradesh,Auraiya,165,26,7,0,2,2019-20,Auraiya,162,exact,1379545
Uttar Pradesh,Azamgarh,493,77,19,0,4,2019-20,Azamgarh,191,exact,4613913
Uttar Pradesh,Bagpat,200,24,7,0,1,2019-20,Baghpat,139,fuzzy,1303048
Uttar Pradesh,Bahraich,320,56,14,0,2,2019-20,Bahraich,180,exact,3487731
Uttar Pradesh,Ballia,367,81,9,0,2,2019-20,Ballia,193,exact,3239774
Uttar Pradesh,Balrampur,215,27,9,0,3,2019-20,Balrampur,182,exact,2148665
Uttar Pradesh,Banda,277,52,4,0,2,2019-20,Banda,170,exact,1799410
Uttar Pradesh,Barabanki,350,56,19,0,3,2019-20,Bara Banki,176,fuzzy,3260699
Uttar Pradesh,Bareilly,411,81,6,0,2,2019-20,Bareilly,150,exact,4448359
Uttar Pradesh,Basti,273,39,14,0,3,2019-20,Basti,185,exact,2464464
Uttar Pradesh,Bijnor,343,64,7,0,2,2019-20,Bijnor,134,exact,3682713
Uttar Pradesh,Budaun,291,56,9,0,2,2019-20,Budaun,149,exact,3681896
Uttar Pradesh,Bulandshahar,344,71,10,0,4,2019-20,Bulandshahr,142,fuzzy,3499171
Uttar Pradesh,C S M Nagar,213,31,13,0,1,2019-20,Amethi,000,crosswalk,
Uttar Pradesh,Chandauli,248,30,4,0,4,2019-20,Chandauli,196,exact,1952756
Uttar Pradesh,Chitrakoot,134,28,6,0,1,2019-20,Chitrakoot,171,exact,991730
Uttar Pradesh,Deoria,320,77,16,0,2,2019-20,Deoria,190,exact,3100946
Uttar Pradesh,Etah,191,34,4,0,2,2019-20,Etah,201,exact,1774480
Uttar Pradesh,Etawah,169,34,8,0,3,2019-20,Etawah,161,exact,1581810
Uttar Pradesh,Faizabad,255,40,5,0,4,2019-20,Ayodhya,177,crosswalk,2470996
Uttar Pradesh,Farrukhabad,192,31,8,0,3,2019-20,Farrukhabad,159,exact,1885204
Uttar Pradesh,Fatehpur,321,47,11,0,2,2019-20,Fatehpur,172,exact,2632733
Uttar Pradesh,Firozabad,220,19,3,0,3,2019-20,Firozabad,147,exact,2498156
Uttar Pradesh,Gautam Buddha Nagar,128,37,5,0,2,2019-20,Gautam Buddha Nagar,141,exact,1648115
Uttar Pradesh,Ghaziabad,146,66,4,0,3,2019-20,Ghaziabad,140,exact,4681645
Uttar Pradesh,Ghazipur,418,12,6,0,2,2019-20,Ghazipur,195,exact,3620268
